start,end,path
roll,cord,"['roll', 'poll', 'pool', 'fool', 'foot', 'boot', 'bolt', 'bold', 'cold', 'cord']"
soon,mint,"['soon', 'soot', 'boot', 'bolt', 'bold', 'bond', 'fond', 'find', 'mind', 'mint']"
live,boat,"['live', 'line', 'fine', 'find', 'fond', 'bond', 'bold', 'bolt', 'boat']"
foot,warm,"['foot', 'boot', 'bolt', 'bold', 'cold', 'cord', 'card', 'ward', 'warm']"
wine,rant,"['wine', 'pine', 'pint', 'pant', 'rant']"
sank,find,"['sank', 'sink', 'pink', 'pine', 'fine', 'find']"
soot,damp,"['soot', 'foot', 'fool', 'pool', 'poll', 'pull', 'pulp', 'pump', 'dump', 'damp']"
tent,bond,"['tent', 'bent', 'bend', 'bond']"
cord,cool,"['cord', 'cold', 'bold', 'bolt', 'boot', 'foot', 'fool', 'cool']"
root,boot,"['root', 'boot']"
moan,soot,"['moan', 'moon', 'soon', 'soot']"
love,soot,"['love', 'move', 'mole', 'pole', 'poll', 'pool', 'fool', 'foot', 'soot']"
wind,mole,"['wind', 'wine', 'line', 'live', 'love', 'move', 'mole']"
pool,pump,"['pool', 'poll', 'pull', 'pulp', 'pump']"
bold,line,"['bold', 'bond', 'fond', 'find', 'fine', 'line']"
roll,cool,"['roll', 'poll', 'pool', 'cool']"
pole,wind,"['pole', 'mole', 'move', 'love', 'live', 'line', 'wine', 'wind']"
pole,camp,"['pole', 'poll', 'pull', 'pulp', 'pump', 'dump', 'damp', 'camp']"
mean,bald,"['mean', 'moan', 'moon', 'soon', 'soot', 'boot', 'bolt', 'bold', 'bald']"
move,moon,"['move', 'mole', 'pole', 'poll', 'pool', 'fool', 'foot', 'soot', 'soon', 'moon']"
soot,lane,"['soot', 'boot', 'bolt', 'bold', 'bond', 'fond', 'find', 'fine', 'line', 'lane']"
pool,cord,"['pool', 'fool', 'foot', 'boot', 'bolt', 'bold', 'cold', 'cord']"
bald,boat,"['bald', 'bold', 'bolt', 'boat']"
boat,soon,"['boat', 'boot', 'soot', 'soon']"
foot,pint,"['foot', 'boot', 'bolt', 'bold', 'bond', 'fond', 'find', 'mind', 'mint', 'pint']"
sink,boot,"['sink', 'pink', 'pine', 'fine', 'find', 'fond', 'bond', 'bold', 'bolt', 'boot']"
boat,mint,"['boat', 'bolt', 'bold', 'bond', 'fond', 'find', 'mind', 'mint']"
pole,bond,"['pole', 'poll', 'pool', 'fool', 'foot', 'boot', 'bolt', 'bold', 'bond']"
bent,live,"['bent', 'bend', 'bond', 'fond', 'find', 'fine', 'line', 'live']"
line,fond,"['line', 'fine', 'find', 'fond']"
mint,pint,"['mint', 'pint']"
boot,pump,"['boot', 'foot', 'fool', 'pool', 'poll', 'pull', 'pulp', 'pump']"
rank,male,"['rank', 'sank', 'sane', 'lane', 'line', 'live', 'love', 'move', 'mole', 'male']"
sink,rant,"['sink', 'sank', 'rank', 'rant']"
live,sank,"['live', 'line', 'lane', 'sane', 'sank']"
male,sand,"['male', 'mole', 'move', 'love', 'live', 'line', 'lane', 'sane', 'sand']"
pint,pale,"['pint', 'pine', 'line', 'live', 'love', 'move', 'mole', 'pole', 'pale']"
pink,pool,"['pink', 'pine', 'line', 'live', 'love', 'move', 'mole', 'pole', 'poll', 'pool']"
nest,bond,"['nest', 'test', 'tent', 'bent', 'bend', 'bond']"
land,sank,"['land', 'sand', 'sank']"
lion,pump,"['lion', 'limn', 'limp', 'lamp', 'damp', 'dump', 'pump']"
mint,cane,"['mint', 'pint', 'pine', 'line', 'lane', 'cane']"
bend,tent,"['bend', 'bent', 'tent']"
sand,pine,"['sand', 'land', 'lane', 'line', 'pine']"
pink,cake,"['pink', 'sink', 'sank', 'sane', 'cane', 'cake']"
fine,bent,"['fine', 'find', 'fond', 'bond', 'bend', 'bent']"
nest,fond,"['nest', 'test', 'tent', 'bent', 'bend', 'bond', 'fond']"
dump,soot,"['dump', 'pump', 'pulp', 'pull', 'poll', 'pool', 'fool', 'foot', 'soot']"
bold,bent,"['bold', 'bond', 'bend', 'bent']"
pine,land,"['pine', 'line', 'lane', 'land']"
camp,pale,"['camp', 'damp', 'dump', 'pump', 'pulp', 'pull', 'poll', 'pole', 'pale']"
pool,pole,"['pool', 'poll', 'pole']"
love,pull,"['love', 'move', 'mole', 'pole', 'poll', 'pull']"
bond,line,"['bond', 'fond', 'find', 'fine', 'line']"
fool,boot,"['fool', 'foot', 'boot']"
cake,pant,"['cake', 'cane', 'lane', 'line', 'pine', 'pint', 'pant']"
pale,pant,"['pale', 'male', 'mole', 'move', 'love', 'live', 'line', 'pine', 'pint', 'pant']"
wine,fine,"['wine', 'fine']"
sane,fond,"['sane', 'lane', 'line', 'fine', 'find', 'fond']"
fine,warm,"['fine', 'find', 'fond', 'bond', 'bold', 'cold', 'cord', 'card', 'ward', 'warm']"
rant,pole,"['rant', 'pant', 'pint', 'pine', 'line', 'live', 'love', 'move', 'mole', 'pole']"
pale,mole,"['pale', 'male', 'mole']"
roll,pale,"['roll', 'poll', 'pole', 'pale']"
move,soot,"['move', 'mole', 'pole', 'poll', 'pool', 'fool', 'foot', 'soot']"
meat,root,"['meat', 'mean', 'moan', 'moon', 'soon', 'soot', 'root']"
next,soon,"['next', 'neat', 'meat', 'mean', 'moan', 'moon', 'soon']"
pulp,bold,"['pulp', 'pull', 'poll', 'pool', 'fool', 'foot', 'boot', 'bolt', 'bold']"
neat,foot,"['neat', 'meat', 'mean', 'moan', 'moon', 'soon', 'soot', 'foot']"
male,fine,"['male', 'mole', 'move', 'love', 'live', 'line', 'fine']"
wind,boat,"['wind', 'find', 'fond', 'bond', 'bold', 'bolt', 'boat']"
foot,damp,"['foot', 'fool', 'pool', 'poll', 'pull', 'pulp', 'pump', 'dump', 'damp']"
find,mind,"['find', 'mind']"
dump,lion,"['dump', 'damp', 'lamp', 'limp', 'limn', 'lion']"
cool,soot,"['cool', 'fool', 'foot', 'soot']"
damp,cool,"['damp', 'dump', 'pump', 'pulp', 'pull', 'poll', 'pool', 'cool']"
