Game #,Category,Words
1,Colors,"Green, Blue, Orange, Purple"
1,Insects,"Butterfly, Wasp, Ant, Grasshopper"
1,Sports,"Baseball, Cricket, Golf, Soccer"
1,Planets,"Jupiter, Neptune, Earth, Venus"
2,Shapes,"Oval, Circle, Triangle, Hexagon"
2,Fruits,"Grapes, Peach, Apple, Orange"
2,Colors,"Pink, Orange, Purple, Green"
2,Pets,"Turtle, Rabbit, Fish, Dog"
3,Vehicles,"Truck, Bus, Boat, Bike"
3,Toys,"Car, Teddy, Lego, Blocks"
3,Colors,"Red, Yellow, Purple, Green"
3,Desserts,"Pie, Cookie, Pudding, Donut"
4,Desserts,"Cake, Donut, Icecream, Pie"
4,Insects,"Mosquito, Butterfly, Fly, Wasp"
4,Colors,"Blue, Yellow, Green, Red"
4,Sports,"Baseball, Rugby, Soccer, Basketball"
5,Toys,"Ball, Lego, Puzzle, Car"
5,School Supplies,"Ruler, Notebook, Marker, Pen"
5,Shapes,"Circle, Star, Rectangle, Diamond"
5,Desserts,"Cookie, Cupcake, Icecream, Pie"
6,Birds,"Peacock, Sparrow, Pigeon, Parrot"
6,Desserts,"Cupcake, Icecream, Brownie, Donut"
6,Fast Food,"Fries, Burger, Wrap, Hotdog"
6,Pets,"Fish, Parrot, Turtle, Dog"
7,Body Parts,"Ear, Nose, Leg, Hand"
7,Drinks,"Soda, Tea, Lemonade, Coffee"
7,Fast Food,"Sandwich, Taco, Nuggets, Hotdog"
7,Fruits,"Orange, Banana, Grapes, Lemon"
8,Planets,"Saturn, Mercury, Mars, Venus"
8,Sports,"Golf, Tennis, Baseball, Cricket"
8,Drinks,"Milk, Smoothie, Tea, Water"
8,Colors,"Blue, Green, Purple, Orange"
9,Jobs,"Doctor, Nurse, Police, Teacher"
9,Furniture,"Stool, Bed, Sofa, Shelf"
9,Fast Food,"Pizza, Hotdog, Sandwich, Burger"
9,Body Parts,"Arm, Foot, Eye, Mouth"
10,Pets,"Guinea Pig, Cat, Rabbit, Fish"
10,School Supplies,"Crayon, Pencil, Notebook, Pen"
10,Vehicles,"Car, Van, Bike, Truck"
10,Fruits,"Lemon, Pear, Apple, Orange"
11,Clothing,"Gloves, Jacket, Skirt, Shirt"
11,Shapes,"Triangle, Hexagon, Circle, Diamond"
11,Toys,"Car, Doll, Lego, Blocks"
11,Drinks,"Tea, Soda, Smoothie, Coffee"
12,Body Parts,"Hand, Foot, Mouth, Leg"
12,Insects,"Bee, Butterfly, Grasshopper, Beetle"
12,Sports,"Hockey, Rugby, Golf, Cricket"
12,Birds,"Eagle, Owl, Pigeon, Parrot"
13,School Supplies,"Sharpener, Notebook, Eraser, Ruler"
13,Pets,"Cat, Guinea Pig, Rabbit, Turtle"
13,Toys,"Ball, Puzzle, Teddy, Blocks"
13,Shapes,"Diamond, Star, Oval, Hexagon"
14,Colors,"Green, Red, Yellow, Blue"
14,Fast Food,"Burger, Wrap, Pizza, Sandwich"
14,Desserts,"Icecream, Pie, Donut, Cupcake"
14,Drinks,"Juice, Tea, Soda, Smoothie"
15,Weather,"Storm, Fog, Sun, Hail"
15,Insects,"Beetle, Grasshopper, Wasp, Ant"
15,Body Parts,"Mouth, Arm, Nose, Leg"
15,Sports,"Golf, Tennis, Hockey, Baseball"
16,Drinks,"Soda, Milk, Juice, Smoothie"
16,Pets,"Cat, Guinea Pig, Hamster, Dog"
16,Jobs,"Firefighter, Teacher, Chef, Nurse"
16,Planets,"Jupiter, Neptune, Mars, Saturn"
17,Body Parts,"Hand, Mouth, Nose, Ear"
17,Birds,"Crow, Eagle, Parrot, Peacock"
17,Drinks,"Lemonade, Coffee, Milk, Water"
17,Shapes,"Square, Diamond, Rectangle, Triangle"
18,Animals,"Tiger, Cat, Zebra, Dog"
18,Insects,"Bee, Mosquito, Grasshopper, Beetle"
18,Fast Food,"Nuggets, Pizza, Taco, Sandwich"
18,Fruits,"Grapes, Orange, Banana, Lemon"
19,School Supplies,"Notebook, Crayon, Eraser, Pen"
19,Sports,"Soccer, Rugby, Hockey, Golf"
19,Planets,"Mercury, Venus, Earth, Uranus"
19,Toys,"Yo-yo, Teddy, Car, Blocks"
20,Animals,"Bear, Zebra, Cat, Lion"
20,Insects,"Mosquito, Fly, Bee, Grasshopper"
20,Toys,"Lego, Puzzle, Car, Blocks"
20,Clothing,"Shirt, Hat, Dress, Socks"
21,Birds,"Owl, Peacock, Duck, Pigeon"
21,Jobs,"Doctor, Farmer, Pilot, Chef"
21,Drinks,"Milk, Water, Smoothie, Soda"
21,Animals,"Lion, Tiger, Bear, Cat"
22,School Supplies,"Marker, Sharpener, Pen, Eraser"
22,Fruits,"Apple, Grapes, Banana, Lemon"
22,Colors,"Yellow, Blue, Purple, Green"
22,Birds,"Parrot, Eagle, Crow, Owl"
23,Desserts,"Pie, Pudding, Icecream, Brownie"
23,Birds,"Pigeon, Sparrow, Duck, Parrot"
23,Toys,"Blocks, Ball, Lego, Yo-yo"
23,Animals,"Lion, Cat, Bear, Horse"
